Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
0.5665280665280665,0.5353535353535354,0,310,16,1.25,0.75,0.0025,0:02:06.230773
0.6008316008316008,0.4983164983164983,0,250,20,1.25,0.75,0.0025,0:02:07.805622
0.5374220374220374,0.46296296296296297,1,250,20,1.25,0.75,0.0025,0:02:07.096517
0.5893970893970893,0.5016835016835017,0,310,16,1.5,0.85,0.0035,0:02:11.056346
0.5103950103950103,0.41414141414141414,0,250,20,1.5,0.85,0.0035,0:02:13.213604
0.5696465696465697,0.4764309764309764,1,250,20,1.5,0.85,0.0035,0:02:13.231771
0.5904365904365905,0.5033670033670034,0,310,16,1.5,0.85,0.0025,0:02:13.785419
0.6372141372141372,0.5387205387205387,0,250,20,1.5,0.85,0.0025,0:02:13.870136
0.6081081081081081,0.5134680134680135,1,250,20,1.5,0.85,0.0025,0:02:13.587890
0.5831600831600832,0.4898989898989899,0,310,16,1.5,0.75,0.0035,0:02:04.068336
0.5748440748440748,0.48653198653198654,0,250,20,1.5,0.75,0.0035,0:02:04.861217
0.5031185031185031,0.3956228956228956,1,250,20,1.5,0.75,0.0035,0:02:05.437676
0.5426195426195426,0.4663299663299663,0,310,16,1.5,0.75,0.0025,0:02:06.675419
0.46361746361746364,0.39225589225589225,0,250,20,1.5,0.75,0.0025,0:02:10.753520
0.5457380457380457,0.4983164983164983,1,250,20,1.5,0.75,0.0025,0:02:10.271807
0.5384615384615384,0.4595959595959596,0,330,15,1,0.85,0.0035,0:02:08.179345
0.5644490644490644,0.494949494949495,0,280,17,1,0.85,0.0035,0:02:02.998615
0.5738045738045738,0.5151515151515151,1,280,17,1,0.85,0.0035,0:02:02.933780
0.6382536382536382,0.5353535353535354,0,330,15,1,0.85,0.0025,0:02:47.462742
0.6268191268191268,0.5471380471380471,0,280,17,1,0.85,0.0025,0:02:47.978955
0.579002079002079,0.5084175084175084,1,280,17,1,0.85,0.0025,0:02:47.942015
0.4896049896049896,0.4511784511784512,0,330,15,1,0.75,0.0035,0:02:35.130300
0.606029106029106,0.5707070707070707,0,280,17,1,0.75,0.0035,0:02:24.971339
0.49272349272349275,0.41919191919191917,1,280,17,1,0.75,0.0035,0:02:24.629372
0.6798336798336798,0.5841750841750841,0,330,15,1,0.75,0.0025,0:01:42.390286
0.5634095634095634,0.5336700336700336,0,280,17,1,0.75,0.0025,0:01:37.609071
0.5384615384615384,0.4898989898989899,1,280,17,1,0.75,0.0025,0:01:37.481401
0.58004158004158,0.4898989898989899,0,280,17,1.25,0.85,0.0035,0:01:39.186430
0.685031185031185,0.6043771043771043,1,280,17,1.25,0.85,0.0035,0:01:39.272623
0.6413721413721414,0.5740740740740741,0,330,15,1.25,0.85,0.0035,0:01:42.387295
0.6143451143451143,0.5589225589225589,1,280,17,1.25,0.85,0.0025,0:01:47.425203
0.5592515592515592,0.48653198653198654,0,280,17,1.25,0.85,0.0025,0:01:47.804191
0.6382536382536382,0.5572390572390572,0,330,15,1.25,0.85,0.0025,0:01:49.942473
0.606029106029106,0.5707070707070707,0,280,17,1.25,0.75,0.0035,0:01:31.296942
0.6392931392931392,0.5740740740740741,1,280,17,1.25,0.75,0.0035,0:01:31.937229
0.4896049896049896,0.4511784511784512,0,330,15,1.25,0.75,0.0035,0:01:35.019991
0.5550935550935551,0.4797979797979798,0,280,17,1.25,0.75,0.0025,0:01:30.527996
0.525987525987526,0.4898989898989899,1,280,17,1.25,0.75,0.0025,0:01:30.584886
0.5987525987525988,0.4764309764309764,0,330,15,1.25,0.75,0.0025,0:01:33.879040
0.4095634095634096,0.3367003367003367,0,280,17,1.5,0.85,0.0035,0:01:29.190572
0.6008316008316008,0.5555555555555556,1,280,17,1.5,0.85,0.0035,0:01:29.616434
0.5966735966735967,0.4898989898989899,0,330,15,1.5,0.85,0.0035,0:01:33.095136
0.6122661122661123,0.5555555555555556,0,280,17,1.5,0.85,0.0025,0:01:30.456190
0.5291060291060291,0.45454545454545453,1,280,17,1.5,0.85,0.0025,0:01:30.120087
0.683991683991684,0.5757575757575758,0,330,15,1.5,0.85,0.0025,0:01:33.393339
