Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
0.4490644490644491,0.41919191919191917,3,200,25,2,0.8,0.003,0.02,0:01:16.584273
0.5311850311850311,0.5185185185185185,2,300,16,1,0.8,0.003,0.005,0:01:13.794730
0.4896049896049896,0.45454545454545453,2,300,16,2,0.9,0.003,0.02,0:01:13.114554
0.553014553014553,0.49158249158249157,3,200,25,2,0.9,0.003,0.01,0:01:15.905086
0.58004158004158,0.5656565656565656,2,300,16,1,0.8,0.003,0.02,0:01:10.758845
0.4812889812889813,0.42424242424242425,3,200,25,1,0.8,0.003,0.01,0:01:14.528767
0.659043659043659,0.6026936026936027,3,200,25,2,0.9,0.003,0.005,0:01:15.016463
0.40124740124740127,0.3400673400673401,2,300,16,1,0.9,0.003,0.01,0:01:11.553722
0.6029106029106029,0.5521885521885522,3,200,25,1,0.8,0.003,0.005,0:01:14.443992
0.4916839916839917,0.43097643097643096,3,200,25,2,0.9,0.003,0.02,0:01:14.827969
0.4553014553014553,0.4292929292929293,2,300,16,1,0.9,0.003,0.005,0:01:11.776125
0.48544698544698545,0.4276094276094276,3,200,25,1,0.8,0.003,0.02,0:01:15.132153
0.525987525987526,0.48484848484848486,3,300,16,1,0.8,0.003,0.01,0:01:12.194008
0.3783783783783784,0.367003367003367,2,300,16,1,0.9,0.003,0.02,0:01:12.352585
0.5602910602910602,0.47474747474747475,3,200,25,1,0.9,0.003,0.01,0:01:14.623513
0.6621621621621622,0.6195286195286195,3,300,16,1,0.8,0.003,0.005,0:01:16.179354
0.4968814968814969,0.4208754208754209,2,300,16,2,0.8,0.003,0.01,0:01:16.125496
0.3367983367983368,0.29797979797979796,3,200,25,1,0.9,0.003,0.005,0:01:21.642749
0.5332640332640333,0.4393939393939394,3,300,16,1,0.8,0.003,0.02,0:01:15.272778
0.5706860706860707,0.48148148148148145,2,300,16,2,0.8,0.003,0.005,0:01:14.608541
0.4968814968814969,0.4444444444444444,3,200,25,1,0.9,0.003,0.02,0:01:16.652094
0.4085239085239085,0.39057239057239057,3,300,16,1,0.9,0.003,0.01,0:01:13.382830
0.5031185031185031,0.4612794612794613,2,300,16,2,0.8,0.003,0.02,0:01:11.450996
0.48336798336798337,0.41414141414141414,3,200,25,2,0.8,0.003,0.01,0:01:14.885812
0.4573804573804574,0.4511784511784512,3,300,16,1,0.9,0.003,0.005,0:01:11.029121
0.45426195426195426,0.43097643097643096,2,300,16,2,0.9,0.003,0.01,0:01:11.862892
0.4604989604989605,0.41919191919191917,3,200,25,2,0.8,0.003,0.005,0:01:14.723247
0.4864864864864865,0.41245791245791247,3,300,16,1,0.9,0.003,0.02,0:01:13.754836
