Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
2,120,41,0.4,0.5,0.6000000000000001,0.4,0.35654885654885654,0.3063973063973064,0:08:58.034045
2,100,50,0.2,0.1,0.4,0.8,0.32744282744282743,0.2962962962962963,0:01:57.540444
2,120,41,0.6000000000000001,0.5,1.0,0.4,0.36694386694386694,0.32491582491582494,0:09:13.316909
2,100,50,0.8,0.30000000000000004,0.4,0.6000000000000001,0.3097713097713098,0.2727272727272727,0:06:05.251151
2,140,35,0.2,0.1,1.0,0.8,0.2910602910602911,0.24579124579124578,0:02:02.731826
2,100,50,1.0,0.30000000000000004,0.8,0.6000000000000001,0.3128898128898129,0.29292929292929293,0:06:13.792506
2,100,50,0.2,0.1,0.4,1.0,0.32744282744282743,0.2962962962962963,0:01:55.006687
2,100,50,0.4,0.1,0.8,0.8,0.3097713097713098,0.25925925925925924,0:02:07.481018
2,100,50,0.6000000000000001,0.30000000000000004,0.2,0.2,0.3804573804573805,0.3265993265993266,0:05:48.935072
2,120,41,1.0,0.1,0.6000000000000001,0.2,0.2588357588357588,0.2255892255892256,0:03:17.478570
2,140,35,0.2,0.1,1.0,1.0,0.2910602910602911,0.24579124579124578,0:02:03.947640
2,100,50,0.2,0.1,0.6000000000000001,0.2,0.2785862785862786,0.25757575757575757,0:01:55.995120
2,100,50,0.4,0.1,0.8,1.0,0.3097713097713098,0.25925925925925924,0:02:09.651186
2,120,41,1.0,0.1,0.6000000000000001,0.4,0.2588357588357588,0.2255892255892256,0:03:20.514585
2,100,50,0.2,0.1,0.6000000000000001,0.4,0.2785862785862786,0.2474747474747475,0:01:57.845459
2,100,50,0.4,0.1,1.0,0.2,0.25571725571725573,0.23737373737373738,0:02:12.530245
2,100,50,0.8,0.30000000000000004,0.4,0.8,0.2869022869022869,0.24915824915824916,0:06:06.827733
2,100,50,1.0,0.30000000000000004,0.8,0.8,0.3024948024948025,0.25925925925925924,0:06:20.967998
2,100,50,0.2,0.1,0.6000000000000001,0.6000000000000001,0.2785862785862786,0.2474747474747475,0:02:02.541401
2,120,41,0.2,0.5,0.2,0.6000000000000001,0.44386694386694386,0.3939393939393939,0:08:28.838562
2,100,50,0.6000000000000001,0.30000000000000004,0.2,0.4,0.36486486486486486,0.3265993265993266,0:05:54.738328
2,140,35,0.2,0.30000000000000004,0.2,0.2,0.33264033264033266,0.2828282828282828,0:05:22.869460
2,100,50,0.4,0.1,1.0,0.4,0.25571725571725573,0.23737373737373738,0:02:15.779671
2,120,41,0.4,0.5,0.6000000000000001,0.6000000000000001,0.3898128898128898,0.3400673400673401,0:08:46.274985
2,120,41,1.0,0.1,0.6000000000000001,0.6000000000000001,0.24532224532224534,0.2138047138047138,0:03:24.972838
2,120,41,0.6000000000000001,0.5,1.0,0.6000000000000001,0.36694386694386694,0.32491582491582494,0:09:04.122241
2,100,50,0.2,0.1,0.6000000000000001,0.8,0.2785862785862786,0.2474747474747475,0:01:56.040099
2,100,50,0.4,0.1,1.0,0.6000000000000001,0.26507276507276506,0.25084175084175087,0:02:07.551476
2,100,50,0.2,0.1,0.6000000000000001,1.0,0.2785862785862786,0.2474747474747475,0:01:57.710944
2,120,41,1.0,0.1,0.6000000000000001,0.8,0.34615384615384615,0.3164983164983165,0:03:18.720779
2,100,50,0.8,0.30000000000000004,0.4,1.0,0.29002079002079,0.2474747474747475,0:06:04.354849
2,100,50,0.4,0.1,1.0,0.8,0.26507276507276506,0.25084175084175087,0:02:09.994177
2,100,50,0.2,0.1,0.8,0.2,0.29313929313929316,0.2828282828282828,0:01:54.040600
2,100,50,1.0,0.30000000000000004,0.8,1.0,0.3201663201663202,0.2609427609427609,0:06:11.804391
2,140,35,0.2,0.30000000000000004,0.2,0.4,0.4106029106029106,0.3434343434343434,0:05:11.527305
2,100,50,0.6000000000000001,0.30000000000000004,0.2,0.6000000000000001,0.35135135135135137,0.31986531986531985,0:05:43.513024
2,100,50,0.4,0.1,1.0,1.0,0.2806652806652807,0.24579124579124578,0:02:07.056193
2,100,50,0.2,0.1,0.8,0.4,0.29313929313929316,0.2828282828282828,0:01:52.791148
2,120,41,1.0,0.1,0.6000000000000001,1.0,0.34615384615384615,0.3164983164983165,0:03:14.537481
2,120,41,0.2,0.5,0.2,0.8,0.39397089397089397,0.33164983164983164,0:08:16.817172
2,120,41,0.4,0.5,0.6000000000000001,0.8,0.33471933471933474,0.27104377104377103,0:08:31.006534
2,100,50,0.2,0.1,0.8,0.6000000000000001,0.29313929313929316,0.2828282828282828,0:01:53.104063
2,120,41,0.6000000000000001,0.5,1.0,0.8,0.36694386694386694,0.32491582491582494,0:08:47.963336
